Record Length,15000,,Source,CH1,CH2
Sample Interval,40000.0000000000000,,Second,Volt,Volt
,,,-280000000.00000000000,0.08000,1.08000
,,,-279960000.00000000000,0.12000,1.08000
,,,-279920000.00000000000,0.04000,1.12000
,,,-279880000.00000000000,0.24000,1.12000
,,,-279840000.00000000000,0.12000,1.12000
,,,-279800000.00000000000,0.08000,1.08000
,,,-279760000.00000000000,0.08000,1.08000
,,,-279720000.00000000000,0.04000,1.12000
,,,-279680000.00000000000,0.24000,1.12000
,,,-279640000.00000000000,0.12000,1.08000
,,,-279600000.00000000000,0.12000,1.12000
,,,-279560000.00000000000,0.12000,1.08000
,,,-279520000.00000000000,0.08000,1.08000
,,,-279480000.00000000000,0.24000,1.08000
,,,-279440000.00000000000,0.12000,1.08000
,,,-279400000.00000000000,0.12000,1.08000
,,,-279360000.00000000000,0.12000,1.08000
,,,-279320000.00000000000,0.08000,1.12000
,,,-279280000.00000000000,0.24000,1.08000
,,,-279240000.00000000000,0.16000,1.12000
,,,-279200000.00000000000,0.12000,1.12000
,,,-279160000.00000000000,0.08000,1.08000
,,,-279120000.00000000000,0.04000,1.08000
,,,-279080000.00000000000,0.24000,1.08000
,,,-279040000.00000000000,0.12000,1.12000
,,,-279000000.00000000000,0.12000,1.08000
,,,-278960000.00000000000,0.12000,1.08000
,,,-278920000.00000000000,0.04000,1.08000
,,,-278880000.00000000000,0.24000,1.08000
,,,-278840000.00000000000,0.12000,1.08000
,,,-278800000.00000000000,0.08000,1.12000
,,,-278760000.00000000000,0.08000,1.08000
,,,-278720000.00000000000,0.12000,1.08000
,,,-278680000.00000000000,0.24000,1.08000
,,,-278640000.00000000000,0.16000,1.12000
,,,-278600000.00000000000,0.12000,1.08000
,,,-278560000.00000000000,0.12000,1.08000
,,,-278520000.00000000000,0.08000,1.08000
,,,-278480000.00000000000,0.12000,1.08000
,,,-278440000.00000000000,0.16000,1.08000
,,,-278400000.00000000000,0.16000,1.12000
,,,-278360000.00000000000,0.08000,1.12000
,,,-278320000.00000000000,0.24000,1.08000
,,,-278280000.00000000000,0.12000,1.08000
,,,-278240000.00000000000,0.12000,1.08000
,,,-278200000.00000000000,0.12000,1.12000
,,,-278160000.00000000000,0.08000,1.08000
,,,-278120000.00000000000,0.16000,1.08000
,,,-278080000.00000000000,0.12000,1.08000
,,,-278040000.00000000000,0.12000,1.08000
,,,-278000000.00000000000,0.08000,1.08000
,,,-277960000.00000000000,0.08000,1.12000
,,,-277920000.00000000000,0.20000,1.08000
,,,-277880000.00000000000,0.12000,1.12000
,,,-277840000.00000000000,0.08000,1.12000
,,,-277800000.00000000000,0.12000,1.08000
,,,-277760000.00000000000,0.08000,1.12000
,,,-277720000.00000000000,0.20000,1.08000
,,,-277680000.00000000000,0.08000,1.12000
,,,-277640000.00000000000,0.08000,1.08000
,,,-277600000.00000000000,0.08000,1.12000
,,,-277560000.00000000000,0.08000,1.08000
,,,-277520000.00000000000,0.24000,1.12000
,,,-277480000.00000000000,0.16000,1.08000
,,,-277440000.00000000000,0.16000,1.08000
,,,-277400000.00000000000,0.12000,1.08000
,,,-277360000.00000000000,0.08000,1.08000
,,,-277320000.00000000000,0.24000,1.12000
,,,-277280000.00000000000,0.12000,1.12000
,,,-277240000.00000000000,0.12000,1.08000
,,,-277200000.00000000000,0.08000,1.08000
,,,-277160000.00000000000,0.12000,1.08000
,,,-277120000.00000000000,0.20000,1.08000
,,,-277080000.00000000000,0.12000,1.08000
,,,-277040000.00000000000,0.12000,1.08000
,,,-277000000.00000000000,0.08000,1.08000
,,,-276960000.00000000000,0.08000,1.08000
,,,-276920000.00000000000,0.20000,1.12000
,,,-276880000.00000000000,0.12000,1.12000
,,,-276840000.00000000000,0.12000,1.12000
,,,-276800000.00000000000,0.08000,1.12000
,,,-276760000.00000000000,0.08000,1.08000
,,,-276720000.00000000000,0.20000,1.08000
,,,-276680000.00000000000,0.08000,1.08000
,,,-276640000.00000000000,0.08000,1.12000
,,,-276600000.00000000000,0.08000,1.08000
,,,-276560000.00000000000,0.12000,1.12000
,,,-276520000.00000000000,0.24000,1.08000
,,,-276480000.00000000000,0.12000,1.08000
,,,-276440000.00000000000,0.16000,1.08000
,,,-276400000.00000000000,0.12000,1.08000
,,,-276360000.00000000000,0.12000,1.04000
,,,-276320000.00000000000,0.24000,1.08000
,,,-276280000.00000000000,0.12000,1.08000
